pad_id,manufacturer,name,image,safety_score,rank
1,시크릿데이,시크릿데이 샬롯 팬티라이너 롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfMzMg/MDAxNjE2NDk2MDI0NzIz.KfrEO7AEeY1IzoidKIFRA9Dg2LFvRd-Dv7J4Uk33IWkg.GI_QOQZIF8Aqgjek6PUNm6F1xgfd3OjqEpAEKlbu28kg.PNG/image.png?type=w1200,93,67
2,시크릿데이,시크릿데이 울트라슬림 코튼 중형 비,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjQy/MDAxNjE2NDk1NTEzMDk2.xzaeYi10rRhRmJxdwy6rtcibQmNEEd9dDiLxMY4V7rgg.bzpoNOrEirS51tnYe_SxAwEMbRa5JxsyGzxeWHP550Ig.PNG/image.png?type=w1200,-35,146
3,시크릿데이,시크릿데이 울트라슬림 중형 에이,https://post-phinf.pstatic.net/MjAyMTAzMjNfNzEg/MDAxNjE2NDk1MDkwOTk4.R0LhiFxnTt98aFY1_PfiZ1hsRc2UqptcD8coe0qjOpMg.g86pbn7cCQHV1kxkSdUM4fAiMCc56LRMLuLSSzKnPB8g.PNG/image.png?type=w1200,-131,179
4,오씨본,오씨본 울트라슬림 생리대 오버나이트,https://post-phinf.pstatic.net/MjAyMTAzMjNfNjUg/MDAxNjE2NDk0NjczMDU5.t6w3hBZv3cKoC6witiob5U22D2ZqK_D-6Cu0PdINaPQg.g4onaD70mxXkYlk7TPziRXX_mIxT-EcZmsfFEZjgcfcg.PNG/image.png?type=w1200,-224,217
5,오씨본,오씨본 울트라슬림 생리대 대형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjQ0/MDAxNjE2NDg0NjYzNzc2.kKZCYGUeQfc9qUVPL_h8R-_G3RDZqBjl3QGpxGL_bjog.Q6ko3sVX5lZ7a7mZ2Wern8hBya1yB6ExBSdA_yxhu4Qg.PNG/image.png?type=w1200,-443,279
6,오씨본,오씨본 울트라슬림 생리대 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjY3/MDAxNjE2NDg0MjQwNTA0.VXn1bMgZkgLhX_BDpATiThItvrG5N_G5RY8i-zIFgwMg.-jbaLnHkrsWf1MpJOydiwnmwIhNyA05pgChYsPYog28g.PNG/image.png?type=w1200,-185,196
7,르프레시,르프레시 중형 날개,https://post-phinf.pstatic.net/MjAyMTAzMjNfNTAg/MDAxNjE2NDgzNDM0ODc3.bBgYYra2ysCgu0H8pCRLmXQA_OiLtNW-Kzg0Wt1I-kYg.mcnYuaRIB39pS4PM5nCbEGdCYNxPh1M28rt2iVQlptsg.PNG/image.png?type=w1200,-82,166
8,라엘,라엘 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfNzUg/MDAxNjE2NDgzMDIwMzA1.NU_4bNqXQ7m4JhdsZCyPZfXalLIAg4okk-1BarvzF1sg.ojDuW7U1LACTr01yP2lGnL06e7qn1RvbsFaGG9qucEog.PNG/image.png?type=w1200,-399,264
9,잇츠미슬림,잇츠미슬림 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMTI4/MDAxNjE2NDgyNTEwMDIz.JBLEIrvD85mFzUcASTTVc7Y1OT6-uB0bQzrQzMIjrrAg.GVoJwLfrCpjbVAlIvVSkciHGMPEM1orkDulOjPtFr20g.PNG/image.png?type=w1200,-53,151
10,네오시스,네오시스 순면이좋은날 울트라슬림 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMTEg/MDAxNjE2NDgwMjEwOTAw.-yhVX4T1YQcIF_xEP4T-7TMxygyYiAKGAmmW1NTkTYEg.ZqkK6T8g-jkLfegheg84m-EqLHooQAxdofmuP4AtTRMg.PNG/image.png?type=w1200,116,52
