pad_id,ingredient_id,name,detection,average,safety_score
1,2,Çí»ê,0.136,0.127,92.91
1,8,Åç·ç¿£,0.16,0.679,176.44
1,10,¿¡Æ¿º¥Á¨,0.089,0.046,6.52
1,12,ÀÚÀÏ·»,0.149,0.102,53.92
1,14,½ºÅ¸ÀÌ·»,2.288,1.598,56.82
1,17,ºÎÅ¸³í,0.096,0.155,138.06
1,26,¿ÁÅº,0.216,0.075,-88
1,34,³ë³­,0.497,0.246,-2.03
1,5,µ¥Ä­,0.345,0.207,33.33
1,11,¸®¸ð³Ù,1.217,0.731,33.52
1,19,¿îµ¥Ä­,0.625,0.433,55.66
1,20,³ë³ª³¯,0.12,1.001,188.01
1,21,µµµ¥Ä­,1.474,1.965,124.99
1,22,µ¥Ä«³¯,0.273,1.032,173.55
1,28,Æ®¸®µ¥Ä­,1.964,2.32,115.34
1,29,Å×Æ®¶óµ¥Ä­,3.063,9.71,168.46
1,31,ÆæÅ¸µ¥Ä­,2.806,4.831,141.92
1,33,Çí»çµ¥Ä­,3.814,15.192,174.89
1,35,¿¡Åº¿Ã,0.561,2.139,173.77
1,37,¾Æ¼¼Åæ,0.4,0.269,51.3
2,4,Å¬·Î·ÎÆ÷¸§,0.268,0.025,-872
2,8,Åç·ç¿£,0.241,0.679,164.51
2,14,½ºÅ¸ÀÌ·»,1.069,1.598,133.1
2,17,ºÎÅ¸³í,0.428,0.155,-76.13
2,34,³ë³­,0.188,0.246,123.58
2,5,µ¥Ä­,1.47,0.207,-510.14
2,11,¸®¸ð³Ù,0.642,0.731,112.18
2,19,¿îµ¥Ä­,1.123,0.433,-59.35
2,21,µµµ¥Ä­,4.49,1.965,-28.5
2,22,µ¥Ä«³¯,2.14,1.032,-7.36
2,28,Æ®¸®µ¥Ä­,2.831,2.32,77.97
2,29,Å×Æ®¶óµ¥Ä­,4.383,9.71,154.86
2,31,ÆæÅ¸µ¥Ä­,3.448,4.831,128.63
2,33,Çí»çµ¥Ä­,7.619,15.192,149.85
2,35,¿¡Åº¿Ã,3.806,2.139,22.07
2,37,¾Æ¼¼Åæ,0.716,0.269,-66.17
3,2,Çí»ê,0.436,0.127,-143.31
3,4,Å¬·Î·ÎÆ÷¸§,0.192,0.025,-568
3,8,Åç·ç¿£,0.548,0.679,119.29
3,14,½ºÅ¸ÀÌ·»,2.69,1.598,31.66
3,17,ºÎÅ¸³í,0.357,0.155,-30.32
3,26,¿ÁÅº,0.629,0.075,-638.67
3,34,³ë³­,0.797,0.246,-123.98
3,5,µ¥Ä­,2.551,0.207,-1032.37
3,11,¸®¸ð³Ù,1.211,0.731,34.34
3,19,¿îµ¥Ä­,2.115,0.433,-288.45
3,20,³ë³ª³¯,0.249,1.001,175.12
3,21,µµµ¥Ä­,7.26,1.965,-169.47
3,22,µ¥Ä«³¯,2.309,1.032,-23.74
3,28,Æ®¸®µ¥Ä­,3.85,2.32,34.05
